ID,Name,TeamName,Role
538,★ ⑳ bruno[1]#euteamobloodzin,GSTFAMILY,
539,★ ⑳ vlx,SUGOI! e-Sports,
540,★ ⑳ hitt #euteamobloodzin,GSTFAMILY,
541,★ ⑳ synerg,0,
542,★ ⑳ lo crix,orgless-,
543,★ ⑳ sigma,D0G$ P33K,
544,★ ⑳ Lemao,orgless-,
545,★ ⑳ MORANDIN,D0G$ P33K,
546,★ ⑳ ADENA,orgless-,
547,★ ⑳ roro LEONHART,D0G$ P33K,
548,★ ⑳ SPIKEEEY,orgless-,
549,★ ⑳ lbz,orgless-,
550,★ ⑳ emut1,0,
551,★ ⑰ DZ Fuuuguetin,D0G$ P33K,
552,★ ⑳ limi7,Flow Nocturns Gaming,
553,★ ⑳ lineko,CEARA,
554,★ ⑳ leandra$o,Flow Nocturns Gaming,
555,★ ⑳ sk1p,CEARA,
556,★ ⑳ matinaso,Flow Nocturns Gaming,
557,★ ⑳ t4MAg,Flow Nocturns Gaming,
558,★ ⑳ sheep,Flow Nocturns Gaming,
559,★ ⑳ spLx,CEARA,
560,★ ⑳ NAITTEXDD,CEARA,
561,★ ⑳ mcl,CEARA,
562,★ ⑳ jnRAT' XN-,Team Brave Soldiers,
563,★ ⑳ ZDK,Urubuzada e-Sports,
564,★ ⑳ rosseti,Urubuzada e-Sports,
565,★ ⑳ LUCKING,Team Brave Soldiers,
566,★ ⑳ Dukha XN-,Team Brave Soldiers,
567,★ ⑳ MURILOHENj,Urubuzada e-Sports,
568,★ ⑳ Thuister,Team Brave Soldiers,
569,★ ⑳ cerol011,Urubuzada e-Sports,
570,★ ⑳ saipsz4n ♥j,Urubuzada e-Sports,
571,★ ⑳ fnk,Team Brave Soldiers,
572,★ ⑳ mrcss,Cooldown Esports,
573,★ ⑳ doiz,WorkHard eSports,
574,★ ⑳ gh ;),WorkHard eSports,
575,★ ⑳ 5kl,Cooldown Esports,
576,★ ⑳ brokeN,WorkHard eSports,
577,★ ⑳ zdr,Cooldown Esports,
578,★ ⑳ $TRIKER THE MILF,WorkHard eSports,
579,★ ⑳ Hikari,Cooldown Esports,
580,★ ⑳ Dropzera^_^,WorkHard eSports,
581,★ ⑳ fokiu,Cooldown Esports,
582,★ ⑳ anar zzz,The Lions Team,
583,★ ⑳ kami*,JACKBOY$ (NO ORG),
584,★ ⑳ naz,The Lions Team,
